Source,Catalog,Site,Locus,ProvString,Component,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType
Ruby,26EK12326-11-221,26EK12326,A,"CU 12, 000-010",Early Archaic (Locus A),1,0.2,Cryptocrystalline silicate,Proximal fragment,-9.7,,-7.1,-3.3,-3.6,,179,,,-9.7,DSN basal corner (or NSN),Indeterminate
Ruby,26HU5728-11-7,26HU5728,-,Artifact 9,Non-component,1,2,Obsidian,Medial fragment,-15.5,-13.4,-21.3,5.4,,10.1,,165,,-3,,Dart-sized
Ruby,26EK12130-11-19,26EK12130,NL,Artifact 28,Terminal Prehistoric,1,0.7,Cryptocrystalline silicate,Proximal fragment,-16.8,-16.7,13.4,2.3,13.1,,,,,,,Cottonwood
Ruby,26EK1511-11-47,26EK1511,-,"SS 4, 000-005",Non-component,1,1,Cryptocrystalline silicate,Proximal fragment,-14.4,-9.7,15,4.7,14.7,,,,,,,Humboldt
Ruby,26EK3524-11-82,26EK3524,NL,Artifact 131,Non-component,1,2.1,Cryptocrystalline silicate,Medial fragment,-21.2,-20.5,-19,4.3,,-10.1,120,198,,-4.6,,Indeterminate
Ruby,26EK3524-11-150,26EK3524,C1,"SS 9, 000-005",Late Archaic (C1),1,0.3,Obsidian,Nearly complete,-14.9,-14.5,8.3,2.3,-3.3,6,83,198,,-4.6,,Small Stemmed
Ruby,26WA-ISO-11-16,26WA-ISO,-,-,,1,3.3,Obsidian,Proximal fragment,-32.2,-26.7,-22.6,5.6,16.2,14.5,122,187,,8.3,Deeply split stem,Elko
Ruby,26EK11808-11-390,26EK11808,A,"CU 16, 010-020",Middle Archaic (Locus A),1,1.2,Cryptocrystalline silicate,Proximal fragment,-14.8,-14.1,-17.5,5,17.5,-11.6,136,,,-14.8,,Dart-sized
Ruby,26EK11808-11-404,26EK11808,B,"CU 17, 000-010",Non-component,1,1.3,Obsidian,Proximal fragment,-16.9,-14.8,-16.5,-4.8,-16.5,-12.6,129,,,-7.6,,Indeterminate
Ruby,26EK3524-11-241,26EK3524,A,"CU 5, 030-040",Non-component,1,1,Cryptocrystalline silicate,Proximal fragment,-16.2,-11.5,-14.3,4.2,-14.2,-5.2,137,208,,-13,extrapolating NW,Dart-sized
Ruby,26WA8823-11-34,26WA8823,NL,Artifact 34,Non-component,1,16.7,Obsidian,Nearly complete,-65.3,-64.3,30.2,8.2,-16,22.2,89,233,,-18.2,,Great Basin Stemmed
Ruby,26HU4792-11-12,26HU4792,AB,Artifact 12,Late Archaic (Locus AB),1,0.2,Obsidian,Nearly complete,-18.6,15.5,-7.6,1.7,-2.6,-3.8,116,209,,-3.5,,Arrow-sized
Ruby,26WA5086/5087-11-566,26WA5086/5087,D,"CU 13, 000-010",Non-component,1,1,Obsidian,Medial fragment,-16.7,-16.1,-20.3,3.2,,8.9,,,,,,Indeterminate
Ruby,26WA5086/5087-11-215,26WA5086/5087,E,Artifact 215,Non-component,1,2.1,Obsidian,Proximal fragment,-22.3,-21.1,-19.9,4.3,,14.5,100,173,,-5.2,PSA rule,Elko?
Ruby,26WA8777-11-71,26WA8777,A,Artifact 71,Paleoarchaic (Locus A),1,1.6,Obsidian,Proximal fragment,-26.5,-19.9,-13.6,4.8,,-11.2,117,,,-14.5,,Dart-sized
Ruby,26EK11848-11-106,26EK11848,C/O,"SS 2, 000-005",Early Archaic (Locus C/O),1,0.19,Cryptocrystalline silicate,Proximal fragment,-8,-7.5,-9.3,2.1,-9.2,5.2,152,,,-8,,Desert Side-notched
Ruby,26EK11848-11-44,26EK11848,G,"SP 16, 000-010",Non-component,1,0.4,Cryptocrystalline silicate,Proximal fragment,-9.2,-9,-12.2,-4.5,11.1,,,,,,,Indeterminate
Ruby,26HU5531-11-63,26HU5531,NL,Artifact 63,Non-component,1,3.95,Obsidian,Proximal fragment,-28.2,-27.8,-18.7,7.6,12.5,,82,,,-28.2,,Great Basin Stemmed
Ruby,26HU4962-11-9,26HU4962,B,Artifact 9,Non-component,1,1.3,Obsidian,Medial fragment,-18.5,-16.7,-18.8,-4.9,,-9.3,,,,,,Indeterminate
Ruby,26HU4986-11-37,26HU4986,B,"SS 1, 000-005",Non-component,1,1.9,Obsidian,Proximal fragment,-24.8,-24.3,-14.6,5.8,6,,79,,,-24.8,biface?,Dart-sized
