CatID,ACC,Site,CAT,Locus,ProvString,Component,Description,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType,Analyst,Complete,Notched,Serrated,EdgeGround,BasalThinned,Reworked
33185,26HU4960-10,26HU4960,3677,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Proximal fragment,18.6,15.9,18.5,3.8,15.2,11,121,148,,8.2,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33186,26HU4960-10,26HU4960,3678,NL,PL Artifact 2,Non-component,PROJECTILE POINT,1,9.2,Obsidian,Whole,52.6,45.7,29.8,7.1,10.2,,,,25,,Odd,Other Dart,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33187,26HU4962-10,26HU4962,3679,A,PL Artifact 1,Non-component,PROJECTILE POINT,1,1.1,Obsidian,Proximal fragment,17.9,13.8,15,4,14.9,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33188,26HU4962-10,26HU4962,3680,A,PL Artifact 2,Non-component,PROJECTILE POINT,1,1.3,Obsidian,Proximal fragment,21.3,14.1,19.8,4.5,19.8,9.9,145,214,,17.5,,Northern Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33189,26HU4962-10,26HU4962,3681,A,PL Artifact 3,Non-component,PROJECTILE POINT,1,1.1,Obsidian,Whole,23.1,22.6,13,4.4,10.6,,,,44,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33191,26HU4962-10,26HU4962,3683,A,PL Artifact 5,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Proximal fragment,16.1,14.8,21.9,3.9,13.7,9.7,122,212,,10.3,DSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33192,26HU4962-10,26HU4962,3684,A,PL Artifact 6,Non-component,PROJECTILE POINT,1,1,Obsidian,Proximal fragment,13.2,10,15.8,4.9,11.7,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33193,26HU4962-10,26HU4962,3685,A,PL Artifact 7,Non-component,PROJECTILE POINT,1,3.2,Obsidian,Whole,37.8,29.3,19.5,5.3,11.8,10.1,105,199,,9.1,,Gatecliff,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33194,26HU4962-10,26HU4962,3686,A,PL Artifact 8,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Proximal fragment,11.5,8.9,13.7,3.7,18.5,10.7,136,216,,8.9,DSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33195,26HU4962-10,26HU4962,3687,A,PL Artifact 9,Non-component,PROJECTILE POINT,1,1.8,Obsidian,Proximal fragment,20,17.2,16,4.8,11.2,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33196,26HU4962-10,26HU4962,3688,A,PL Artifact 10,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Proximal fragment,17.5,15.3,11.5,3.2,3.9,,,,,,"thin, small",Humboldt?,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33197,26HU4962-10,26HU4962,3689,A,PL Artifact 11,Non-component,PROJECTILE POINT,1,1.6,Obsidian,Proximal fragment,16.6,13.9,24.3,4.7,12.9,11.2,113,150,,8.7,,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33198,26HU4962-10,26HU4962,3690,A,PL Artifact 12,Non-component,PROJECTILE POINT,1,1.3,Obsidian,Proximal fragment,15.8,15.1,14.1,6.1,9,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33199,26HU4962-10,26HU4962,3691,A,PL Artifact 13,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Proximal fragment,15.1,14.1,15.8,4.8,11.9,,,,,,,Indeterminate,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33200,26HU4962-10,26HU4962,3692,A,PL Artifact 14,Non-component,PROJECTILE POINT,1,2,Obsidian,Proximal fragment,22.6,19.8,20.6,4.3,6.6,10,106,153,,6.4,PSA rule; base broken,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33201,26HU4962-10,26HU4962,3693,A,PL Artifact 16,Non-component,PROJECTILE POINT,1,1.4,Obsidian,Proximal fragment,18.1,13.1,18.3,4.2,15.1,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33202,26HU4962-10,26HU4962,3694,NL,PL Artifact 17,Non-component,PROJECTILE POINT,1,3.9,Obsidian,Proximal fragment,32.9,30.2,18.3,7.5,16.5,11.6,121,201,,10.1,Gatecliff like,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33203,26HU4962-10,26HU4962,3695,A,PL Artifact 19,Non-component,PROJECTILE POINT,1,1.5,Obsidian,Proximal fragment,23.8,22.5,15.6,3.9,10.7,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33204,26HU4962-10,26HU4962,3696,A,PL Artifact 23,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Whole,24.7,23.7,10.4,3,8,,,,66,,reworked; small,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
33205,26HU4962-10,26HU4962,3697,A,PL Artifact 24,Non-component,PROJECTILE POINT,1,0.6,Obsidian,Proximal fragment,16.6,14.5,11.4,3.2,10.6,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33206,26HU4962-10,26HU4962,3698,A,PL Artifact 25,Non-component,PROJECTILE POINT,1,0.9,Obsidian,Proximal fragment,18.1,15.8,11.6,3.9,10.3,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33207,26HU4962-10,26HU4962,3699,A,PL Artifact 26,Non-component,PROJECTILE POINT,1,0.5,Obsidian,Proximal fragment,10.4,5.9,16.1,3.8,11.3,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33208,26HU4962-10,26HU4962,3700,A,PL Artifact 27,Non-component,PROJECTILE POINT,1,1,Obsidian,Proximal fragment,15.5,10,18.1,3.7,13.4,12.4,114,210,,8.4,PSA rule,Gatecliff,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33209,26HU4962-10,26HU4962,3701,A,PL Artifact 28,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Proximal fragment,15.5,10.2,17.7,4.8,11.1,,,,,,reworked,Humboldt?,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
33210,26HU4962-10,26HU4962,3702,A,PL Artifact 29,Non-component,PROJECTILE POINT,1,0.9,Obsidian,Proximal fragment,14.5,10.1,19.6,3.7,14.2,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33211,26HU4962-10,26HU4962,3703,A,PL Artifact 30,Non-component,PROJECTILE POINT,1,0.8,Obsidian,Proximal fragment,11.2,10.1,14.9,3.8,11.8,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33212,26HU4962-10,26HU4962,3704,A,PL Artifact 32,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Proximal fragment,13.8,11.1,14.2,3.9,9.2,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33213,26HU4962-10,26HU4962,3705,A,PL Artifact 34,Non-component,PROJECTILE POINT,1,1.1,Obsidian,Proximal fragment,20.5,16.6,13.5,3.9,15.2,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33214,26HU4962-10,26HU4962,3706,A,PL Artifact 35,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Proximal fragment,14.6,10.5,18.3,4.4,15.5,,,,,,,Humboldt?,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33215,26HU4962-10,26HU4962,3707,A,PL Artifact 36,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Proximal fragment,12.55,9.9,12.2,4,11,,,,,,,Humboldt?,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33216,26HU4962-10,26HU4962,3708,NL,PL Artifact 37,Non-component,PROJECTILE POINT,1,2.9,Obsidian,Proximal fragment,23.6,21.2,18.8,6.4,17.3,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33217,26HU4962-10,26HU4962,3709,NL,PL Artifact 38,Non-component,PROJECTILE POINT,1,2,Obsidian,Proximal fragment,32.9,32.6,16.4,4.3,9.3,11,122,184,,7,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33218,26HU4962-10,26HU4962,3710,NL,PL Artifact 40,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Proximal fragment,21.7,16.8,13.8,2.8,3,6.2,208,212,,12.6,,Desert Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33219,26HU4962-10,26HU4962,3711,NL,PL Artifact 42,Non-component,PROJECTILE POINT,1,0.5,Obsidian,Nearly complete,20.8,16.8,9.4,3,4.1,8.1,146,191,,5.8,,Desert Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33220,26HU4962-10,26HU4962,3712,NL,PL Artifact 43,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Nearly complete,23.4,23.1,9.7,3.1,8.9,5.8,141,204,,5.3,DSA looks ok on other side,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
